user,session_count,total_events,unique_page_types,events_per_session
10773646400583865217u,2,27,4,13.5
10773659593865926077u,1,13,2,13.0
10775782328848052428u,1,9,2,9.0
10776758741082567517u,1,6,3,6.0
10777847009161091355u,1,8,2,8.0
10778545138334369088u,1,9,1,9.0
10778852506600120361u,2,6,1,3.0
10780344426920319330u,5,7,1,1.4
1078403736235307060u,3,15,4,5.0
10786259048995174145u,1,8,1,8.0
10790561725474271712u,1,9,2,9.0
10791924947073895096u,7,39,4,5.571428571428571
10795329161955632487u,6,6,1,1.0
10795951536145751663u,8,9,1,1.125
10796409420891682374u,1,7,2,7.0
10796958108697130567u,1,7,1,7.0
10798106715466617510u,1,8,1,8.0
10801185131181314703u,6,9,1,1.5
10804191602586874477u,2,11,2,5.5
10806072841872997227u,1,12,2,12.0
10810513344185364677u,1,13,2,13.0
1081075100903658043u,4,33,3,8.25
